ORF,Gene,SWAT GFP localization,mCherry localization,Seamless GFP localization,"C' GFP localization (Won-Ki H. et. al. 2003)",SWAT GFP intensity median (a.u.),Seamless GFP intensity median (a.u.),Library tybe
YNL009W,IDP3,punctate,punctate,punctate,cytosol,55.9,12.8,SWAT-GFP
YNL012W,SPO1,"ambigous,vacuole",vacuole,below threshold,below threshold,20.7,11.8,SWAT-SP-GFP
YNL015W,PBI2,cytosol,cytosol,cytosol,"nucleus,cytosol",338.2,56.3,SWAT-GFP
YNL019C,YNL019C,vacuole,vacuole,below threshold,below threshold,34.9,12.2,SWAT-SP-GFP
YNL020C,ARK1,punctate,punctate,"punctate,bud neck",punctate,48.3,15.0,SWAT-GFP
YNL024C-A,KSH1,ER,cytosol,below threshold,0,43.3,14.8,SWAT-SP-GFP
YNL026W,SAM50,mitochondria,0,0,0,N/D,N/D,SWAT-GFP
YNL029C,KTR5,"ER,punctate","ER,vacuole",below threshold,below threshold,33.2,9.7,SWAT-GFP
YNL032W,SIW14,cytosol,cytosol,cytosol,cytosol,50.6,15.6,SWAT-GFP
YNL038W,GPI15,ER,vacuole,below threshold,0,23.3,10.5,SWAT-GFP
YNL041C,COG6,punctate,"cytosol,punctate",punctate,punctate,47.1,13.1,SWAT-GFP
YNL044W,YIP3,punctate,punctate,punctate,0,91.5,43.0,SWAT-GFP
YNL046W,YNL046W,"punctate,nucleus","punctate,nucleus",below threshold,ER,45.7,13.6,SWAT-GFP
YNL047C,SLM2,"cell periphery,punctate","cell periphery,punctate",below threshold,0,34.0,9.9,SWAT-GFP
YNL048W,ALG11,punctate,0,0,ER,N/D,N/D,SWAT-GFP
YNL049C,SFB2,punctate,punctate,"below threshold,punctate",ER to punctate,94.0,11.6,SWAT-GFP
YNL051W,COG5,cytosol,cytosol,punctate,"punctate,punctate",47.3,14.1,SWAT-GFP
YNL054W,VAC7,vacuole membrane,vacuole membrane,vacuole membrane,below threshold,46.8,12.0,SWAT-GFP
YNL055C,POR1,"cytosol,punctate",0,0,"cytosol,mitochondria",N/D,N/D,SWAT-GFP
YNL058C,YNL058C,ER,ER,"cytosol,punctate",0,64.6,13.3,SWAT-GFP
YNL064C,YDJ1,cytosol,cytosol,0,0,184.3,N/D,SWAT-GFP
YNL065W,AQR1,"cell periphery,vacuole","cell periphery,vacuole",cell periphery,"cell periphery,vacuole",20.1,13.5,SWAT-GFP
YNL066W,SUN4,"ER,punctate",vacuole,cytosol,vacuole,42.9,22.1,SWAT-SP-GFP
YNL070W,TOM7,mitochondria,0,0,mitochondria,N/D,N/D,SWAT-GFP
YNL074C,MLF3,cytosol,cytosol,below threshold,cytosol,71.8,14.9,SWAT-GFP
YNL080C,EOS1,ER,ER,below threshold,below threshold,37.2,11.2,SWAT-GFP
YNL084C,END3,"cell periphery,punctate","cell periphery,punctate","cell periphery,punctate",punctate,82.4,29.6,SWAT-GFP
YNL087W,TCB2,"cell periphery,ER","cell periphery,ER,punctate","cell periphery,punctate",cell periphery,N/D,N/D,SWAT-GFP
YNL090W,RHO2,cell periphery,cell periphery,"below threshold,cell periphery","nucleus,cytosol",61.4,18.9,SWAT-GFP
YNL093W,YPT53,punctate,0,0,below threshold,N/D,N/D,SWAT-GFP
YNL095C,YNL095C,ER,ER,below threshold,ER,25.6,9.6,SWAT-GFP
YNL098C,RAS2,cell periphery,cell periphery,cell periphery,"nucleus,cytosol",108.7,53.0,SWAT-GFP
YNL111C,CYB5,ER,0,ER,ER,61.4,20.9,SWAT-GFP
YNL115C,YNL115C,"vacuole membrane,punctate","vacuole membrane,punctate",vacuole membrane,vacuole,89.0,12.6,SWAT-GFP
YNL117W,MLS1,"cytosol,punctate","cytosol,punctate",punctate,0,116.0,14.6,SWAT-GFP
YNL125C,ESBP6,cell periphery,"cell periphery,vacuole",below threshold,ER,42.1,10.8,SWAT-GFP
YNL127W,FAR11,cytosol,0,cytosol,cytosol,49.4,13.8,SWAT-GFP
YNL129W,NRK1,"ER,vacuole",vacuole,cytosol,cytosol,50.8,18.7,SWAT-SP-GFP
YNL130C,CPT1,ER,ER,ER,0,55.1,26.8,SWAT-GFP
YNL131W,TOM22,mitochondria,0,0,ambiguous,N/D,N/D,SWAT-GFP
YNL142W,MEP2,ER,vacuole,below threshold,cell periphery,38.4,9.7,SWAT-GFP
YNL143C,YNL143C,below threshold,below threshold,below threshold,"nucleus,cytosol",13.4,8.6,SWAT-GFP
YNL144C,YNL144C,below threshold,below threshold,below threshold,below threshold,14.2,9.0,SWAT-GFP
YNL145W,MFA2,ER,ER,below threshold,below threshold,98.7,13.6,SWAT-GFP
YNL146W,YNL146W,ER,ER,"ambigous,ER",ER,N/D,N/D,SWAT-GFP
YNL149C,PGA2,"ER,punctate","ER,punctate",0,ER,145.7,N/D,SWAT-GFP
YNL154C,YCK2,cell periphery,cell periphery,cell periphery,"nucleus,cytosol",63.1,39.5,SWAT-GFP
YNL156C,NSG2,ER,ER,ER,ER,73.7,16.3,SWAT-GFP
YNL158W,PGA1,nuclear periphery,"ambigous,ER",0,nuclear periphery,26.1,N/D,SWAT-SP-GFP
YNL159C,ASI2,"ER,punctate","ER,punctate","ER,punctate",below threshold,27.6,11.6,SWAT-GFP
YNL160W,YGP1,"ambigous,ER",cytosol,cell periphery,below threshold,51.7,29.1,SWAT-SP-GFP
YNL163C,RIA1,cytosol,cytosol,cytosol,cytosol,83.4,22.5,SWAT-GFP
YNL176C,TDA7,"ambigous,ER",vacuole,below threshold,vacuole,37.0,11.0,SWAT-GFP
YNL180C,RHO5,cell periphery,0,0,"nucleus,cytosol",N/D,N/D,SWAT-GFP
YNL181W,YNL181W,"ER,punctate","ER,punctate","ER,punctate",ER,102.3,28.4,SWAT-GFP
YNL183C,NPR1,cytosol,cytosol,cytosol,cytosol,44.5,15.1,SWAT-GFP
YNL188W,KAR1,ER,ER,ER,0,98.3,114.2,SWAT-GFP
YNL190W,YNL190W,ambigous,"cell periphery,vacuole","cytosol,punctate,nucleus","ER,cell periphery",25.0,98.7,SWAT-SP-GFP
YNL192W,CHS1,"cell periphery,punctate","cell periphery,vacuole",0,below threshold,N/D,N/D,SWAT-GFP
YNL194C,YNL194C,cell periphery,cell periphery,"cell periphery,punctate",cell periphery,49.9,12.3,SWAT-GFP
YNL202W,SPS19,punctate,punctate,punctate,0,138.1,9.8,SWAT-GFP
YNL214W,PEX17,punctate,punctate,below threshold,punctate,32.4,14.9,SWAT-GFP
YNL217W,YNL217W,vacuole membrane,vacuole membrane,punctate,vacuole,47.6,11.2,SWAT-GFP
YNL219C,ALG9,ER,ER,ER,ER,52.3,24.5,SWAT-SP-GFP
YNL223W,ATG4,cytosol,0,0,"nucleus,cytosol",N/D,N/D,SWAT-GFP
YNL227C,JJJ1,cytosol,cytosol,cytosol,cytosol,61.6,15.4,SWAT-GFP
YNL231C,PDR16,cytosol,cytosol,cytosol,punctate,79.2,51.2,SWAT-GFP
YNL234W,YNL234W,vacuole membrane,vacuole membrane,ambigous,cytosol,36.2,12.2,SWAT-GFP
YNL237W,YTP1,punctate,"vacuole,punctate",below threshold,0,72.9,12.9,SWAT-SP-GFP
YNL238W,KEX2,vacuole,vacuole,"ambigous,punctate","punctate,punctate",23.9,14.8,SWAT-SP-GFP
YNL242W,ATG2,cytosol,cytosol,cytosol,ambiguous,42.5,13.7,SWAT-GFP
YNL243W,SLA2,"punctate,bud neck","punctate,bud neck","punctate,bud neck",punctate,98.3,19.2,SWAT-GFP
YNL257C,SIP3,ER,ER,ambigous,cytosol,28.2,11.7,SWAT-GFP
YNL258C,DSL1,cytosol,cytosol,ER,ER,48.3,15.6,SWAT-GFP
YNL263C,YIF1,punctate,vacuole,punctate,0,80.7,27.1,SWAT-GFP
YNL264C,PDR17,cytosol,cytosol,cytosol,cytosol,136.4,22.6,SWAT-GFP
YNL268W,LYP1,"cell periphery,ER",0,0,"cell periphery,vacuole",N/D,N/D,SWAT-GFP
YNL270C,ALP1,ER,ER,below threshold,0,49.6,N/D,SWAT-GFP
YNL272C,SEC2,bud neck,bud neck,bud neck,"ambiguous,neck,bud,cytosol,bud neck",45.8,15.6,SWAT-GFP
YNL275W,BOR1,"cell periphery,ER",cell periphery,below threshold,ambiguous,34.4,11.2,SWAT-GFP
YNL279W,PRM1,"vacuole,bud neck",vacuole,vacuole,vacuole,34.1,8.8,SWAT-GFP
YNL280C,ERG24,ER,ER,ER,ER,81.8,19.7,SWAT-GFP
YNL283C,WSC2,vacuole,vacuole,below threshold,cell periphery,22.0,12.6,SWAT-SP-GFP
YNL287W,SEC21,punctate,punctate,punctate,"punctate,punctate",149.7,53.1,SWAT-GFP
YNL291C,MID1,ER,vacuole,below threshold,below threshold,48.1,13.4,SWAT-SP-GFP
YNL293W,MSB3,"cell periphery,bud neck","cell periphery,bud neck",below threshold,ambiguous,33.0,10.0,SWAT-GFP
YNL294C,RIM21,ER,ER,below threshold,below threshold,29.2,10.4,SWAT-GFP
YNL297C,MON2,"cytosol,punctate",0,0,"punctate,punctate",N/D,N/D,SWAT-GFP
YNL300W,TOS6,"cell periphery,vacuole",cytosol,cytosol,ER,35.6,52.2,SWAT-SP-GFP
YNL304W,YPT11,"ER,bud neck",ambigous,below threshold,cytosol,0.0,9.8,SWAT-GFP
YNL305C,BXI1,vacuole membrane,vacuole,vacuole,vacuole,51.4,15.4,SWAT-GFP
YNL318C,HXT14,"cell periphery,vacuole","cell periphery,vacuole",below threshold,0,49.7,9.1,SWAT-GFP
YNL320W,YNL320W,"ER,vacuole",vacuole,mitochondria,below threshold,66.9,15.7,SWAT-SP-GFP
YNL321W,VNX1,vacuole membrane,vacuole membrane,vacuole membrane,below threshold,56.7,12.2,SWAT-GFP
YNL322C,KRE1,vacuole,vacuole,vacuole,ER,28.3,25.2,SWAT-SP-GFP
YNL323W,LEM3,ER,vacuole,"ER,bud neck",ER,71.2,15.3,SWAT-GFP
YNL326C,PFA3,vacuole,vacuole,vacuole,vacuole,39.0,11.6,SWAT-GFP
YNL327W,EGT2,"ambigous,vacuole",vacuole,vacuole,ER,21.6,31.9,SWAT-SP-GFP
YNL329C,PEX6,punctate,punctate,punctate,punctate,38.1,14.9,SWAT-GFP
YNL336W,COS1,vacuole,vacuole,below threshold,vacuole,29.6,8.7,SWAT-GFP
YNR002C,ATO2,vacuole,vacuole,"vacuole,punctate",below threshold,19.8,10.8,SWAT-GFP
YNR006W,VPS27,"cytosol,punctate",0,0,punctate,N/D,N/D,SWAT-GFP
YNR007C,ATG3,cytosol,cytosol,cytosol,cytosol,60.2,13.8,SWAT-GFP
YNR008W,LRO1,ER,ER,below threshold,below threshold,48.1,15.7,SWAT-GFP
YNR013C,PHO91,vacuole membrane,0,0,ER,N/D,N/D,SWAT-GFP
YNR016C,ACC1,"cytosol,punctate","cytosol,punctate","cytosol,punctate","cytosol,punctate",179.7,75.1,SWAT-GFP
YNR019W,ARE2,ER,ER,ER,ER,91.4,25.5,SWAT-GFP
YNR021W,YNR021W,ER,ER,ER,ER,86.9,42.0,SWAT-GFP
YNR026C,SEC12,ER,ER,ER,ER,63.3,18.7,SWAT-GFP
YNR028W,CPR8,"vacuole membrane,punctate",vacuole,punctate,vacuole,96.6,55.7,SWAT-SP-GFP
YNR030W,ALG12,ER,ER,ER,ER,90.2,14.9,SWAT-GFP
YNR035C,ARC35,punctate,punctate,punctate,punctate,145.8,12.1,SWAT-GFP
YNR039C,ZRG17,ER,ER,ER,ER,34.0,15.2,SWAT-GFP
YNR044W,AGA1,cell periphery,"cell periphery,vacuole",below threshold,"ER,ambiguous",35.5,13.0,SWAT-SP-GFP
YNR048W,YNR048W,ER,ER,ER,cytosol,38.6,14.6,SWAT-GFP
YNR049C,MSO1,"cytosol,bud neck","cytosol,bud neck",bud neck,"ambiguous,neck,bud,cytosol,bud neck",58.3,14.0,SWAT-GFP
YNR050C,LYS9,"cell periphery,ER","cell periphery,vacuole",below threshold,cytosol,57.1,11.6,SWAT-SP-GFP
YNR051C,BRE5,cytosol,cytosol,cytosol,cytosol,76.4,31.0,SWAT-GFP
YNR053C,NOG2,nucleus,nucleus,nucleus,nucleus,48.7,35.3,SWAT-GFP
YNR055C,HOL1,"cell periphery,vacuole","cell periphery,vacuole",cell periphery,cell periphery,87.5,10.5,SWAT-GFP
YNR056C,BIO5,ER,"ER,vacuole",below threshold,0,31.1,9.1,SWAT-GFP
YNR059W,MNT4,ER,vacuole,below threshold,below threshold,73.3,11.1,SWAT-SP-GFP
YNR060W,FRE4,ER,vacuole,below threshold,below threshold,29.1,11.5,SWAT-SP-GFP
YNR061C,YNR061C,vacuole,0,0,vacuole,N/D,N/D,SWAT-GFP
YNR062C,YNR062C,ER,ER,below threshold,below threshold,51.4,10.6,SWAT-GFP
YNR065C,YNR065C,ER,ER,below threshold,below threshold,52.0,8.9,SWAT-GFP
YNR066C,YNR066C,"ER,vacuole",vacuole,below threshold,below threshold,66.1,11.1,SWAT-SP-GFP
YNR067C,DSE4,"bud neck,punctate",vacuole,"bud neck,punctate",vacuole,23.0,13.8,SWAT-SP-GFP
YNR070W,PDR18,cytosol,below threshold,cytosol,below threshold,24.5,9.3,SWAT-GFP
YNR072W,HXT17,"cell periphery,vacuole","cell periphery,vacuole",below threshold,below threshold,39.0,9.9,SWAT-GFP
YNR075W,COS10,vacuole membrane,vacuole,below threshold,ER,34.3,9.1,SWAT-GFP
YNR076W,PAU6,"ER,vacuole",vacuole,below threshold,below threshold,42.7,11.7,SWAT-SP-GFP
YOL002C,IZH2,vacuole membrane,vacuole,"ER,vacuole",below threshold,65.5,14.9,SWAT-GFP
YOL003C,PFA4,ER,ER,below threshold,below threshold,43.7,13.0,SWAT-GFP
YOL007C,CSI2,vacuole,vacuole,vacuole,vacuole,33.1,15.2,SWAT-SP-GFP
YOL009C,MDM12,"cytosol,punctate",0,0,mitochondria,N/D,N/D,SWAT-GFP
YOL011W,PLB3,vacuole,vacuole,"below threshold,vacuole",vacuole,18.1,12.8,SWAT-SP-GFP
YOL014W,YOL014W,"cytosol,nucleus",ambigous,below threshold,0,112.0,12.2,SWAT-GFP
YOL018C,TLG2,punctate,"vacuole,punctate",punctate,0,49.6,13.1,SWAT-GFP
YOL019W,YOL019W,"cell periphery,punctate","cell periphery,vacuole","cell periphery,punctate","cell periphery,vacuole",37.9,14.3,SWAT-GFP
YOL020W,TAT2,ER,ER,ER,"cell periphery,vacuole",35.9,19.8,SWAT-GFP
YOL023W,IFM1,"cell periphery,nucleus","cell periphery,nucleus",0,mitochondria,25.8,N/D,SWAT-GFP
YOL026C,MIM1,mitochondria,0,0,0,N/D,N/D,SWAT-GFP
YOL030W,GAS5,ER,ER,ER,"ER,nucleus",55.1,17.2,SWAT-SP-GFP
YOL031C,SIL1,ER,ER,ambigous,cytosol,127.5,22.5,SWAT-SP-GFP
YOL044W,PEX15,punctate,punctate,punctate,punctate,39.7,15.7,SWAT-GFP
YOL047C,LDS2,punctate,punctate,"below threshold,punctate",punctate,27.2,9.7,SWAT-GFP
YOL048C,RRT8,punctate,punctate,punctate,punctate,44.0,14.3,SWAT-GFP
YOL052C-A,DDR2,vacuole,"cell periphery,vacuole","ambigous,vacuole","vacuole,cytosol",37.0,16.2,SWAT-SP-GFP
YOL053W,AIM39,"cytosol,punctate","cytosol,punctate",below threshold,below threshold,27.5,8.6,SWAT-GFP
YOL060C,MAM3,ER,ER,below threshold,vacuole membrane,31.0,11.2,SWAT-GFP
YOL062C,APM4,cytosol,cytosol,bud neck,"bud neck,cell periphery",63.5,11.2,SWAT-GFP
YOL065C,INP54,vacuole membrane,vacuole membrane,below threshold,cytosol,56.3,9.1,SWAT-GFP
YOL073C,DSC2,ER,ER,below threshold,below threshold,44.8,9.9,SWAT-GFP
YOL075C,YOL075C,"cell periphery,ER","cell periphery,vacuole",below threshold,below threshold,24.7,9.1,SWAT-GFP
YOL078W,AVO1,cytosol,0,0,below threshold,N/D,N/D,SWAT-GFP
YOL081W,IRA2,cytosol,"cytosol,punctate",cytosol,cytosol,26.5,9.9,SWAT-GFP
YOL082W,ATG19,"cytosol,punctate","cytosol,punctate",punctate,punctate,90.6,11.1,SWAT-GFP
YOL083W,ATG34,"cytosol,punctate","cytosol,punctate",below threshold,punctate,106.2,10.1,SWAT-GFP
YOL084W,PHM7,ER,ER,vacuole,"cell periphery,vacuole",60.3,14.3,SWAT-GFP
YOL088C,MPD2,ER,ER,ER,vacuole,127.8,34.2,SWAT-SP-GFP
YOL092W,YPQ1,ER,ER,cell periphery,vacuole membrane,44.7,11.6,SWAT-GFP
YOL100W,PKH2,punctate,punctate,below threshold,cytosol,33.4,10.3,SWAT-GFP
YOL101C,IZH4,"punctate,vacuole",vacuole,below threshold,ER,27.6,11.6,SWAT-GFP
YOL103W,ITR2,"cell periphery,vacuole","cell periphery,vacuole",ambigous,ambiguous,55.2,12.0,SWAT-GFP
YOL105C,WSC3,vacuole,vacuole,below threshold,cell periphery,18.0,11.8,SWAT-SP-GFP
YOL107W,YOL107W,punctate,punctate,punctate,"punctate,punctate",50.6,17.3,SWAT-GFP
YOL110W,SHR5,ER,"ER,punctate",below threshold,below threshold,33.6,9.8,SWAT-GFP
YOL119C,MCH4,cell periphery,"cell periphery,vacuole",below threshold,below threshold,54.0,N/D,SWAT-GFP
YOL122C,SMF1,vacuole,vacuole,below threshold,below threshold,36.1,9.0,SWAT-GFP
YOL126C,MDH2,punctate,punctate,punctate,punctate,86.6,9.2,SWAT-GFP
YOL130W,ALR1,cell periphery,cell periphery,"below threshold,cell periphery",ambiguous,77.4,10.3,SWAT-GFP
YOL132W,GAS4,vacuole,vacuole,below threshold,0,95.2,11.9,SWAT-SP-GFP
YOL137W,BSC6,punctate,punctate,punctate,0,44.6,13.7,SWAT-GFP
YOL138C,RTC1,"cytosol,punctate",cytosol,below threshold,vacuole,32.2,13.4,SWAT-GFP
YOL147C,PEX11,punctate,punctate,punctate,punctate,116.9,27.3,SWAT-GFP
YOL152W,FRE7,ER,cytosol,below threshold,below threshold,19.5,9.4,SWAT-GFP
YOL154W,ZPS1,"cell periphery,ER","cell periphery,vacuole",ambigous,vacuole,77.0,18.1,SWAT-SP-GFP
YOL155C,HPF1,cell periphery,"cell periphery,vacuole","below threshold,cell periphery",0,38.8,22.0,SWAT-SP-GFP
YOL156W,HXT11,cell periphery,"cell periphery,vacuole",below threshold,0,89.0,N/D,SWAT-GFP
YOL158C,ENB1,"cell periphery,vacuole","cell periphery,vacuole",below threshold,below threshold,65.3,8.5,SWAT-GFP
YOL159C,YOL159C,"cell periphery,ER","cell periphery,vacuole",below threshold,below threshold,55.8,11.7,SWAT-SP-GFP
YOL161C,PAU20,"punctate,vacuole",vacuole,ambigous,below threshold,55.0,14.5,SWAT-SP-GFP
YOL162W,YOL162W,ER,ER,below threshold,below threshold,18.0,8.7,SWAT-GFP
YOL163W,YOL163W,below threshold,below threshold,below threshold,below threshold,14.3,8.9,SWAT-GFP
YOL164W-A,YOL164W-A,below threshold,below threshold,below threshold,0,13.0,12.5,SWAT-GFP
YOR002W,ALG6,ER,ER,punctate,ER,78.0,11.8,SWAT-GFP
YOR003W,YSP3,ER,ER,below threshold,below threshold,80.3,13.6,SWAT-SP-GFP
YOR008C,SLG1,"ER,vacuole",vacuole,"ambigous,ER","ambiguous,neck,vacuole,bud,cytosol,bud neck",60.4,13.0,SWAT-SP-GFP
YOR008C-A,YOR008C-A,ER,vacuole,below threshold,below threshold,27.1,11.4,SWAT-SP-GFP
YOR009W,TIR4,"cell periphery,vacuole","cell periphery,vacuole","ambigous,vacuole",0,71.3,15.1,SWAT-SP-GFP
YOR010C,TIR2,"cell periphery,vacuole","cell periphery,vacuole",below threshold,0,80.4,12.7,SWAT-SP-GFP
YOR011W,AUS1,cell periphery,"cell periphery,vacuole",below threshold,below threshold,63.8,8.7,SWAT-GFP
YOR016C,ERP4,"ER,punctate","ER,punctate,vacuole",punctate,ER,154.9,33.1,SWAT-SP-GFP
YOR018W,ROD1,cytosol,cytosol,cytosol,cytosol,34.3,10.7,SWAT-GFP
YOR030W,DFG16,below threshold,punctate,below threshold,below threshold,14.9,9.2,SWAT-GFP
YOR032W-A,YOR032W-A,ER,below threshold,ER,0,15.6,9.0,SWAT-GFP
YOR034C,AKR2,"punctate,vacuole",vacuole,"punctate,vacuole",cytosol,30.6,12.5,SWAT-GFP
YOR034C-A,YOR034C-A,punctate,punctate,punctate,0,22.0,8.8,SWAT-GFP
YOR036W,PEP12,"punctate,vacuole membrane",vacuole membrane,"punctate,vacuole",0,56.7,15.0,SWAT-GFP
YOR043W,WHI2,cell periphery,cell periphery,cell periphery,cell periphery,38.5,21.2,SWAT-GFP
YOR044W,IRC23,"below threshold,punctate",punctate,below threshold,ER,14.8,11.2,SWAT-GFP
YOR045W,TOM6,mitochondria,0,0,mitochondria,N/D,N/D,SWAT-GFP
YOR049C,RSB1,vacuole,vacuole,below threshold,cytosol,24.6,9.5,SWAT-GFP
YOR059C,LPL1,"ER,punctate","ER,punctate","below threshold,punctate",ambiguous,36.9,15.1,SWAT-GFP
YOR060C,SLD7,nucleus,nucleus,"nucleus,punctate","nucleus,punctate",18.9,10.3,SWAT-GFP
YOR067C,ALG8,ER,ER,ER,below threshold,76.6,N/D,SWAT-GFP
YOR068C,VAM10,nucleus,below threshold,below threshold,below threshold,32.1,12.3,SWAT-GFP
YOR070C,GYP1,punctate,punctate,punctate,"cytosol,punctate",39.0,12.9,SWAT-GFP
YOR075W,UFE1,ER,vacuole,"ER,punctate",ambiguous,27.6,14.3,SWAT-GFP
YOR076C,SKI7,cytosol,cytosol,below threshold,ambiguous,44.3,10.7,SWAT-GFP
YOR079C,ATX2,ER,ER,ER,below threshold,41.2,13.6,SWAT-GFP
YOR081C,TGL5,punctate,punctate,punctate,punctate,43.7,16.5,SWAT-GFP
YOR084W,LPX1,punctate,punctate,below threshold,ambiguous,91.5,9.0,SWAT-GFP
YOR085W,OST3,ER,ER,ER,ambiguous,117.5,27.8,SWAT-SP-GFP
YOR086C,TCB1,"cell periphery,ER","cell periphery,ER",cell periphery,cell periphery,102.1,25.2,SWAT-GFP
YOR087W,YVC1,vacuole membrane,vacuole membrane,vacuole membrane,"ER,cytosol",109.2,16.1,SWAT-GFP
YOR089C,VPS21,punctate,0,0,"nucleus,cytosol",N/D,N/D,SWAT-GFP
YOR092W,ECM3,ER,ER,below threshold,ER,22.5,10.7,SWAT-GFP
YOR093C,YOR093C,"cytosol,bud neck","cytosol,bud neck",below threshold,below threshold,29.2,12.4,SWAT-GFP
YOR094W,ARF3,cytosol,cytosol,"cytosol,cell periphery",cell periphery,86.7,23.8,SWAT-GFP
YOR099W,KTR1,"cell periphery,vacuole,vacuole membrane","vacuole,vacuole membrane","vacuole,vacuole membrane",vacuole,118.8,24.1,SWAT-GFP
YOR101W,RAS1,cell periphery,cell periphery,cell periphery,"nucleus,cytosol",81.3,25.9,SWAT-GFP
YOR103C,OST2,ER,ER,ER,0,108.6,34.1,SWAT-GFP
YOR104W,PIN2,vacuole membrane,vacuole,"ambigous,vacuole membrane",cell periphery,33.0,13.0,SWAT-GFP
YOR106W,VAM3,vacuole membrane,vacuole membrane,vacuole membrane,0,61.6,17.0,SWAT-GFP
YOR115C,TRS33,"cytosol,punctate","cytosol,punctate",punctate,punctate,66.2,15.8,SWAT-GFP
YOR133W,EFT1,cytosol,cytosol,cytosol,0,378.9,160.8,SWAT-GFP
YOR149C,SMP3,ER,ER,ER,below threshold,43.8,10.2,SWAT-GFP
YOR152C,ATG40,ER,vacuole,below threshold,cytosol,30.9,11.9,SWAT-SP-GFP
YOR153W,PDR5,cell periphery,cell periphery,cell periphery,cell periphery,84.6,24.1,SWAT-GFP
YOR154W,SLP1,"cell periphery,punctate","cell periphery,punctate",ambigous,cytosol,65.2,14.0,SWAT-SP-GFP
YOR157C,PUP1,"cytosol,nucleus","cytosol,nucleus","cytosol,nucleus","nucleus,cytosol",101.5,61.7,SWAT-GFP
YOR161C,PNS1,cell periphery,cell periphery,cell periphery,cell periphery,71.0,11.3,SWAT-GFP
YOR161C-C,YOR161C-C,below threshold,below threshold,below threshold,0,15.1,9.1,SWAT-GFP
YOR165W,SEY1,"cell periphery,ER,bud","cell periphery,ER,bud","cell periphery,ER,punctate",0,102.1,23.4,SWAT-GFP
YOR171C,LCB4,cell periphery,cell periphery,ER,cytosol,70.7,20.9,SWAT-GFP
YOR175C,ALE1,ER,ER,below threshold,ER,37.5,9.8,SWAT-GFP
YOR178C,GAC1,cytosol,below threshold,below threshold,below threshold,27.1,9.1,SWAT-GFP
YOR180C,DCI1,punctate,punctate,punctate,0,80.6,10.2,SWAT-GFP
YOR183W,FYV12,below threshold,below threshold,below threshold,below threshold,14.1,12.0,SWAT-GFP
YOR185C,GSP2,nucleus,nucleus,"cytosol,nucleus","nucleus,cytosol",303.0,20.4,SWAT-GFP
YOR186W,YOR186W,ambigous,vacuole,below threshold,below threshold,31.0,10.3,SWAT-GFP
YOR187W,TUF1,"ambigous,punctate",0,0,mitochondria,N/D,N/D,SWAT-GFP
YOR190W,SPR1,vacuole,vacuole,below threshold,below threshold,57.6,11.4,SWAT-SP-GFP
YOR192C,THI72,"cell periphery,vacuole","cell periphery,vacuole",below threshold,below threshold,60.4,8.6,SWAT-GFP
YOR193W,PEX27,punctate,punctate,punctate,punctate,23.9,12.5,SWAT-GFP
YOR211C,MGM1,punctate,0,below threshold,0,0.0,0.0,SWAT-GFP
YOR214C,SPR2,vacuole,vacuole,below threshold,ER,39.5,12.3,SWAT-SP-GFP
YOR216C,RUD3,punctate,punctate,punctate,"punctate,punctate",72.2,20.8,SWAT-GFP
YOR219C,STE13,punctate,punctate,punctate,below threshold,47.2,11.4,SWAT-GFP
YOR223W,DSC3,ER,0,0,below threshold,N/D,N/D,SWAT-GFP
YOR228C,MCP1,mitochondria,0,0,mitochondria,N/D,N/D,SWAT-GFP
YOR237W,HES1,"punctate,vacuole membrane,bud neck","punctate,vacuole membrane,bud neck",below threshold,below threshold,60.7,8.6,SWAT-GFP
YOR241W,MET7,ER,ER,below threshold,cytosol,44.7,12.3,SWAT-GFP
YOR242C,SSP2,nucleus,nucleus,below threshold,below threshold,27.2,11.9,SWAT-GFP
YOR245C,DGA1,"ER,punctate","ER,punctate",ambigous,"ER,cytosol",59.4,16.4,SWAT-GFP
YOR246C,ENV9,punctate,0,0,punctate,N/D,N/D,SWAT-GFP
YOR247W,SRL1,cell periphery,"cell periphery,vacuole",cell periphery,"vacuole,cytosol",65.6,23.9,SWAT-SP-GFP
YOR254C,SEC63,ER,ER,ER,ER,54.8,36.8,SWAT-GFP
YOR260W,GCD1,cytosol,cytosol,cytosol,cytosol,81.0,18.2,SWAT-GFP
YOR268C,YOR268C,nucleus,below threshold,below threshold,below threshold,32.8,10.7,SWAT-GFP
YOR270C,VPH1,vacuole membrane,0,0,vacuole membrane,N/D,N/D,SWAT-GFP
YOR271C,FSF1,mitochondria,mitochondria,mitochondria,mitochondria,159.4,37.8,SWAT-GFP
YOR273C,TPO4,cell periphery,"cell periphery,vacuole",cell periphery,"cell periphery,bud",32.2,12.9,SWAT-GFP
YOR288C,MPD1,ER,vacuole,ER,vacuole,86.9,22.3,SWAT-SP-GFP
YOR291W,YPK9,vacuole membrane,0,0,ER,N/D,N/D,SWAT-GFP
YOR292C,YOR292C,punctate,"vacuole,punctate",punctate,vacuole,42.1,12.0,SWAT-GFP
YOR298W,MUM3,punctate,punctate,punctate,0,57.0,11.7,SWAT-GFP
YOR299W,BUD7,punctate,0,0,punctate,N/D,N/D,SWAT-GFP
YOR301W,RAX1,vacuole,vacuole,bud neck,below threshold,27.7,12.2,SWAT-GFP
YOR307C,SLY41,punctate,punctate,punctate,ER,47.0,14.7,SWAT-GFP
